,title,director_and_actors,year,ratings,number_of_users_rated
123,Up,"Pete Docter (dir.), Ed Asner, Jordan Nagai",(2009),8.2,"8.2 based on 990,702 user ratings"
124,Indiana Jones and the Last Crusade,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",(1989),8.2,"8.2 based on 726,152 user ratings"
125,Heat,"Michael Mann (dir.), Al Pacino, Robert De Niro",(1995),8.2,"8.2 based on 619,285 user ratings"
126,L.A. Confidential,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",(1997),8.2,"8.2 based on 560,604 user ratings"
127,Yôjinbô,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",(1961),8.2,"8.2 based on 118,792 user ratings"
128,Die Hard,"John McTiernan (dir.), Bruce Willis, Alan Rickman",(1988),8.2,"8.2 based on 841,420 user ratings"
129,Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",(1985),8.2,"8.2 based on 121,095 user ratings"
130,Rashômon,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",(1950),8.2,"8.2 based on 162,315 user ratings"
131,Green Book,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",(2018),8.2,"8.2 based on 441,604 user ratings"
132,Der Untergang,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",(2004),8.2,"8.2 based on 345,086 user ratings"
133,Monty Python and the Holy Grail,"Terry Gilliam (dir.), Graham Chapman, John Cleese",(1975),8.2,"8.2 based on 523,544 user ratings"
134,All About Eve,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",(1950),8.2,"8.2 based on 127,508 user ratings"
135,Some Like It Hot,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",(1959),8.2,"8.2 based on 257,567 user ratings"
136,Batman Begins,"Christopher Nolan (dir.), Christian Bale, Michael Caine",(2005),8.2,"8.2 based on 1,380,632 user ratings"
137,Unforgiven,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",(1992),8.2,"8.2 based on 397,042 user ratings"
138,Jai Bhim,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",(2021),8.2,"8.2 based on 163,856 user ratings"
139,Bacheha-Ye aseman,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",(1997),8.2,"8.2 based on 71,615 user ratings"
140,Hauru no ugoku shiro,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",(2004),8.2,"8.2 based on 366,246 user ratings"
141,The Wolf of Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",(2013),8.2,"8.2 based on 1,296,395 user ratings"
142,Judgment at Nuremberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",(1961),8.2,"8.2 based on 74,716 user ratings"
143,There Will Be Blood,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",(2007),8.2,"8.2 based on 554,750 user ratings"
144,The Great Escape,"John Sturges (dir.), Steve McQueen, James Garner",(1963),8.2,"8.2 based on 236,640 user ratings"
145,Casino,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",(1995),8.2,"8.2 based on 495,452 user ratings"
146,The Treasure of the Sierra Madre,"John Huston (dir.), Humphrey Bogart, Walter Huston",(1948),8.2,"8.2 based on 121,201 user ratings"
147,Pan's Labyrinth,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",(2006),8.1,"8.1 based on 645,958 user ratings"
148,A Beautiful Mind,"Ron Howard (dir.), Russell Crowe, Ed Harris",(2001),8.1,"8.1 based on 893,050 user ratings"
149,El secreto de sus ojos,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",(2009),8.1,"8.1 based on 203,258 user ratings"
150,Raging Bull,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",(1980),8.1,"8.1 based on 339,825 user ratings"
151,Chinatown,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",(1974),8.1,"8.1 based on 313,651 user ratings"
152,Tonari no Totoro,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",(1988),8.1,"8.1 based on 317,630 user ratings"
153,Dersu Uzala,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",(1975),8.1,"8.1 based on 26,558 user ratings"
154,Shutter Island,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",(2010),8.1,"8.1 based on 1,221,836 user ratings"
155,"Lock, Stock and Two Smoking Barrels","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",(1998),8.1,"8.1 based on 561,925 user ratings"
156,No Country for Old Men,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",(2007),8.1,"8.1 based on 917,959 user ratings"
157,Dial M for Murder,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",(1954),8.1,"8.1 based on 169,109 user ratings"
158,The Gold Rush,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",(1925),8.1,"8.1 based on 107,776 user ratings"
159,Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",(2019),8.1,"8.1 based on 134,146 user ratings"
160,The Thing,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",(1982),8.1,"8.1 based on 400,265 user ratings"
161,"Three Billboards Outside Ebbing, Missouri","Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",(2017),8.1,"8.1 based on 476,211 user ratings"
162,Det sjunde inseglet,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",(1957),8.1,"8.1 based on 178,123 user ratings"
